ARTICLE_ID,ENTITY,GIVEN_MAIN_ROLE,GIVEN_SUB_ROLES,PRED_M,PRED_S,CONTEXT
EN_CC_100013.txt,Jeffrey Epstein,Antagonist,['Corrupt'],antagonist,Exploited,"While the BBC interview was set up to look like Gates was being challenged or grilled , Bill Gates wasnt asked about his close friendship with the elite pedophile Jeffrey Epstein ."
EN_CC_100123.txt,Paul Reiter,Protagonist,['Guardian'],antagonist,Guardian,"But Professor Paul Reiter , retired Professor of Insects and Infectious Diseases at the Pasteur Institute in Paris , and a leading expert in mosquito borne diseases , has ridiculed Professor Dame Jenny Harriess claims ."
EN_CC_200116.txt,Justin Trudeau,Antagonist,"['Incompetent', 'Bigot']",antagonist,Underdog,"Canadian Prime Minister Justin Trudeau is faring miserably in the polls , watching the Conservative opposition lead grow wider , and whats worse witnessing the virtual demise of Trudeau prized , signature climate alarmist policies , crystallized on the carbon tax . Justin Trudeau and Pierre Poilievre trade barbs over Canada support for Ukraine and the carbon tax during a feisty exchange in the House of Commons ."
EN_CC_200097.txt,Jeremy Strong,Antagonist,['Conspirator'],protagonist,Guardian,"CEF celebrity funders also include Jeremy Strong , who plays Kendall Roy in the HBO TV series Succession , comedian Chelsea Handler , actor and Silicon Valley star Thomas Middleditch , and Abigail Disney , daughter of ex Disney executive Roy E. Disney , according to CEFs annual 2022 report ."
EN_UA_029053.txt,Ayatollah Khamenei,Antagonist,"['Instigator', 'Tyrant']",antagonist,Instigator,"But especially US President Joe Biden unconvincing no will not stop Ayatollah Khamenei from pushing the button and launching Iran expected missile attack , just as it did not stop Putin from attacking Ukraine , Sir Richard Kemp said ."
EN_CC_200137.txt,Jan Goodey,Antagonist,['Terrorist'],antagonist,Corrupt,"Just Stop Oil activist Jan Goodey was recently sentenced to six months in prison for disrupting a major London motorway , while a few months earlier a climate terrorist named Deanna Violet Coco received a 15 month prison sentence for blocking a lane of traffic on the Sydney Harbour Bridge for 28 minutes ."
EN_CC_100013.txt,BBC,Antagonist,['Deceiver'],antagonist,Exploited,"Bill Gates has the right to fly around the world on private jets while normal people are forced to live in 15 minute cities without freedom of travel , according to Bill Gates Bill Gates , who told the BBC he is doing much more than anybody else to fight climate change . While the BBC interview was set up to look like Gates was being challenged or grilled , Bill Gates wasnt asked about his close friendship with the elite pedophile Jeffrey Epstein ."
EN_UA_014637.txt,Wagner Group,Antagonist,['Corrupt'],antagonist,Terrorist,"The Wagner Group has been mass recruiting inmates from Russia infamous prisons , offering RUSSIAN prisoners who have tested positive for HIV a pardon if they survive for six months . Fearing He was not going to last He ten year sentence behind bars , agreed to join Putin bloodthirsty Wagner Group for six months in exchange for a pardon and supplies of anti viral medications ."
EN_UA_019640.txt,International Criminal Court,Protagonist,['Guardian'],protagonist,Rebel,"Days before that visit , the International Criminal Court ( ICC ) issued a warrant for Putins arrest on suspicion of illegally deporting hundreds of children or more from Ukraine ."
EN_UA_100587.txt,Vladimir Putin,Antagonist,['Saboteur'],antagonist,Exploited,The report claims that the children are not only abducted but sent to be zombified with aggressive propaganda by Vladimir Putin forces .
EN_UA_010091.txt,Europe,Protagonist,['Guardian'],protagonist,Peacemaker,"NUSA DUA The European Council president urged global powers Tuesday to intensify pressure on Russia over Russia war against Ukraine , including Moscow biggest supporter , China , saying that this week meeting of the world largest economies was crucial to stopping Moscow push to use food and energy as weapons . Russias war impacts us all , no matter where us all live , from Europe to Africa or the Middle East , and the single best way to end the acute crisis in food and energy is for Russia to end this senseless war and to respect the U.N. charter , Michel said . Europe , Michel said , is working to help Ukraine , a big food exporter before the war , increase The Kremlin shipments , and is also trying to address disruptions in fertilizer supplies and rising prices . Michel said that Europe must make sure that Europe creates a different economic and political relationship with China than the one Europe did with Russia . We do not want to make the same mistakes maybe We make with Russia on fossil fuels , which Europe was very dependent on , with China , ( where ) We do not want to be too dependent for the innovative technology that We need today and that We need more in the future ."
EN_UA_024847.txt,Seymour Hersh,Protagonist,['Virtuous'],protagonist,Foreign Adversary,"Almayadeen reports : US investigative journalist and Pulitzer award winner Seymour Hersh said on February 8 2023 that US Navy divers planted explosives to destroy the Nord Stream pipelines in 2022 . Last June , the Navy divers , operating under the cover of a widely publicized mid summer NATO exercise known as BALTOPS 22 , planted the remotely triggered explosives that , three months later , destroyed three of the four Nord Stream pipelines , according to a source with direct knowledge of the operational planning , Hersh wrote in and Pulitzer award winner Seymour Hersh Substack newsletter ."
EN_CC_200168.txt,Caroline van der Plas,Antagonist,"['Deceiver', 'Corrupt']",protagonist,Conspirator,"Caroline van der Plas founded this movement in 2019 and is going along with the nitrogen hoax , climate change lies and biodiversity made up bullshit in order to buy up most of the farmers ."
EN_UA_000923.txt,EU,Antagonist,['Incompetent'],antagonist,Rebel,"Treasury Chief Sec Simon Clarke railed against the sluggish EU response and hailed Brexit for letting Britain swiftly hit back at Vladimir Putin . Brexit Britain is one of the foremost opponents of the actions of the Putin regime and if you look at the EU , it is countries like Germany who are dragging their feet when it comes to the the response to this crisis ."
EN_UA_003579.txt,World Bank,Protagonist,['Peacemaker'],protagonist,Instigator,"It is critical to quickly provide support for food insecure countries in a coordinated manner , the heads of the IMF , World Bank , World Trade Organization and UN World Food Program said in a joint statement . IMF chief Kristalina Georgieva , World Bank President David Malpass , WTO head Ngozi Okonjo Iweala and WFP director David Beasley issued the statement before next week meeting of the IMF and World Bank . Poverty rose sharply during the pandemic , and the World Bank warns that for each one percentage point increase in food prices , 10 million people are thrown into extreme poverty worldwide ."
