article_id,ent_span,main_role,fine_grained_roles,max_main_role,avg_main_role,max_fg_role,avg_fg_role
A9_BG_4840.txt,САЩ,Antagonist,Instigator,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_663.txt,САЩ,Antagonist,Conspirator,Innocent,Innocent,Victim,Victim
A9_BG_3290.txt,Шолц,Antagonist,"Incompetent, Deceiver",Innocent,Innocent,Victim,Victim
BG_869.txt,Русия,Antagonist,"Terrorist, Tyrant",Antagonist,Antagonist,Tyrant,Tyrant
BG_582.txt,Щатите,Innocent,Victim,Innocent,Innocent,Scapegoat,Scapegoat
A7_URW_BG_2786.txt,Олаф Шолц,Antagonist,Tyrant,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_423.txt,Зеленски,Antagonist,Incompetent,Innocent,Innocent,Victim,Victim
BG_538.txt,Русия,Innocent,Victim,Innocent,Innocent,Scapegoat,Scapegoat
BG_699.txt,САЩ,Antagonist,"Conspirator, Instigator, Foreign Adversary",Innocent,Innocent,Scapegoat,Scapegoat
BG_3669.txt,Европа,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
A9_BG_5984.txt,Украйна,Protagonist,Martyr,Innocent,Innocent,Exploited,Exploited
BG_629.txt,НАТО,Antagonist,Incompetent,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_526.txt,Вашингтон,Antagonist,Foreign Adversary,Antagonist,Antagonist,Terrorist,Terrorist
A9_BG_4185.txt,Запада,Antagonist,Foreign Adversary,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
A9_BG_5402.txt,Киев,Protagonist,Rebel,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
A9_BG_7690.txt,Европа,Innocent,Victim,Protagonist,Protagonist,Peacemaker,Peacemaker
BG_439.txt,САЩ,Antagonist,Conspirator,Antagonist,Antagonist,Corrupt,Corrupt
A9_BG_4605.txt,Владимир Зеленски,Antagonist,Tyrant,Antagonist,Antagonist,Deceiver,Deceiver
BG_7367.txt,Володимир Зеленски,Antagonist,Incompetent,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_430.txt,САЩ,Antagonist,Conspirator,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_4819.txt,Русия,Antagonist,Tyrant,Innocent,Innocent,Victim,Victim
BG_8060.txt,Украйна,Antagonist,Corrupt,Innocent,Innocent,Victim,Victim
BG_576.txt,Елена,Antagonist,Bigot,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
A9_BG_3142.txt,Сабанадзе,Antagonist,Traitor,Antagonist,Antagonist,Traitor,Traitor
BG_866.txt,Африка,Innocent,Victim,Innocent,Innocent,Scapegoat,Scapegoat
A7_URW_BG_3062.txt,ЕС,Antagonist,Tyrant,Innocent,Innocent,Scapegoat,Scapegoat
BG_454.txt,Киев,Antagonist,Corrupt,Innocent,Innocent,Victim,Victim
A9_BG_3704.txt,Съединените щати,Antagonist,Foreign Adversary,Innocent,Innocent,Scapegoat,Scapegoat
BG_1164.txt,ЕС,Antagonist,Incompetent,Antagonist,Antagonist,Terrorist,Terrorist
BG_4624.txt,Русия,Protagonist,Virtuous,Protagonist,Protagonist,Peacemaker,Peacemaker
A9_BG_2972.txt,Украйна,Antagonist,Terrorist,Antagonist,Antagonist,Terrorist,Terrorist
A7_URW_BG_4230.txt,Западът,Antagonist,Incompetent,Antagonist,Antagonist,Incompetent,Incompetent
A7_URW_BG_3808.txt,САЩ,Antagonist,Foreign Adversary,Innocent,Innocent,Scapegoat,Scapegoat
BG_494.txt,Русия,Innocent,Victim,Antagonist,Antagonist,Terrorist,Terrorist
A8_CC_BG_9754.txt,Хелен Валгрен,Antagonist,Instigator,Innocent,Innocent,Scapegoat,Scapegoat
A7_URW_BG_6975.txt,Вашингтон,Antagonist,Saboteur,Innocent,Innocent,Exploited,Exploited
A7_URW_BG_5265.txt,Зеленски,Antagonist,Traitor,Innocent,Innocent,Scapegoat,Scapegoat
BG_4884.txt,Байдън,Antagonist,"Conspirator, Foreign Adversary",Innocent,Innocent,Scapegoat,Scapegoat
BG_3671.txt,Роберт Фицо,Protagonist,Martyr,Protagonist,Protagonist,Peacemaker,Peacemaker
A9_BG_4189.txt,Лондон,Antagonist,Saboteur,Antagonist,Antagonist,Saboteur,Saboteur
BG_456.txt,КНДР,Antagonist,Foreign Adversary,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
A9_BG_6229.txt,Украйна,Innocent,Exploited,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
BG_573.txt,Енергодар,Innocent,Victim,Antagonist,Antagonist,Terrorist,Terrorist
A7_URW_BG_2951.txt,Украйна,Antagonist,Incompetent,Innocent,Innocent,Scapegoat,Scapegoat
