article_id,ent_span,main_role,fine_grained_roles,max_main_role,avg_main_role,max_fg_role,avg_fg_role
HI_340.txt,यूक्रेन,Innocent,Exploited,Innocent,Innocent,Forgotten,Forgotten
HI_43.txt,मोदी,Protagonist,Peacemaker,Innocent,Innocent,Forgotten,Forgotten
HI_391.txt,नाटो,Antagonist,Foreign Adversary,Antagonist,Antagonist,Saboteur,Saboteur
HI_113.txt,पुतिन,Antagonist,Deceiver,Innocent,Innocent,Forgotten,Forgotten
HI_255.txt,रूस की सेना,Antagonist,Foreign Adversary,Innocent,Innocent,Forgotten,Forgotten
HI_86.txt,नई दिल्ली,Protagonist,"Virtuous, Guardian",Innocent,Innocent,Victim,Victim
HI_336.txt,हेमिल,Innocent,Exploited,Innocent,Innocent,Forgotten,Forgotten
HI_251.txt,कीर स्टार्मर,Protagonist,Guardian,Antagonist,Antagonist,Saboteur,Saboteur
HI_360.txt,ट्रंप,Protagonist,Peacemaker,Innocent,Innocent,Forgotten,Forgotten
HI_311.txt,लॉयड ऑस्टिन,Protagonist,Guardian,Innocent,Innocent,Forgotten,Forgotten
HI_228.txt,यूक्रेन,Protagonist,Underdog,Antagonist,Antagonist,Saboteur,Saboteur
HI_274.txt,रूसी लड़ाकू,Antagonist,"Foreign Adversary, Tyrant",Antagonist,Antagonist,Saboteur,Saboteur
HI_304.txt,पुतिन,Protagonist,"Rebel, Guardian",Innocent,Innocent,Forgotten,Forgotten
HI_123.txt,राष्ट्रपति जेलेंस्की,Protagonist,Virtuous,Protagonist,Protagonist,Peacemaker,Peacemaker
HI_389.txt,पेसकोव,Protagonist,Guardian,Antagonist,Antagonist,Saboteur,Saboteur
HI_282.txt,ज़ेलेंस्की,Protagonist,Guardian,Antagonist,Antagonist,Saboteur,Saboteur
HI_55.txt,USSR 1991,Innocent,Victim,Innocent,Innocent,Forgotten,Forgotten
HI_55.txt,रूस,Protagonist,Underdog,Innocent,Innocent,Forgotten,Forgotten
HI_374.txt,पुतिन,Antagonist,Foreign Adversary,Innocent,Innocent,Forgotten,Forgotten
HI_2.txt,अमेरिका,Protagonist,Virtuous,Innocent,Innocent,Forgotten,Forgotten
HI_89.txt,पश्चिमी देशों,Antagonist,Foreign Adversary,Antagonist,Antagonist,Saboteur,Saboteur
HI_106.txt,रूस,Protagonist,"Virtuous, Guardian",Innocent,Innocent,Forgotten,Forgotten
HI_286.txt,दक्षिण कोरियाई खुफिया एजेंसियों,Protagonist,Virtuous,Antagonist,Antagonist,Tyrant,Tyrant
HI_102.txt,यूक्रेन,Innocent,Victim,Innocent,Innocent,Forgotten,Forgotten
HI_223.txt,यूक्रेन,Antagonist,Deceiver,Antagonist,Antagonist,Saboteur,Saboteur
HI_102.txt,रूसी,Antagonist,Instigator,Innocent,Innocent,Forgotten,Forgotten
HI_313.txt,रूसी सैनिक,Protagonist,"Rebel, Guardian",Antagonist,Antagonist,Saboteur,Saboteur
HI_153.txt,क्रेमिना,Innocent,Victim,Innocent,Innocent,Forgotten,Forgotten
HI_112.txt,यूक्रेनी इकाइयों,Antagonist,Foreign Adversary,Innocent,Innocent,Forgotten,Forgotten
HI_285.txt,रूस,Protagonist,Rebel,Antagonist,Antagonist,Tyrant,Tyrant
HI_55.txt,पुतिन,Innocent,Exploited,Innocent,Innocent,Forgotten,Forgotten
HI_370.txt,अमेरिका,Protagonist,Virtuous,Innocent,Innocent,Forgotten,Forgotten
HI_7.txt,रूस,Antagonist,Foreign Adversary,Innocent,Innocent,Forgotten,Forgotten
HI_197.txt,यूक्रेनी सेना,Protagonist,"Rebel, Underdog",Innocent,Innocent,Forgotten,Forgotten
HI_6.txt,यूक्रेन,Innocent,Forgotten,Antagonist,Antagonist,Bigot,Bigot
HI_321.txt,रूस,Antagonist,Foreign Adversary,Antagonist,Antagonist,Saboteur,Saboteur
