article_id,ent_span,main_role,fine_grained_roles,max_main_role,avg_main_role,max_fg_role,avg_fg_role
PT_17.txt,Rússia,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_263.txt,Zelensky,Antagonist,Terrorist,Antagonist,Antagonist,Terrorist,Terrorist
PT_06.txt,Vladlen Tatarsky,Innocent,Victim,Antagonist,Antagonist,Terrorist,Terrorist
PT_124.txt,Rússia,Protagonist,Peacemaker,Innocent,Innocent,Victim,Victim
PT_168.txt,Estado,Antagonist,Corrupt,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_10.txt,Kiev,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_12.txt,Washington,Antagonist,Conspirator,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_06.txt,Ministério dos Negócios Estrangeiros russo,Protagonist,Guardian,Antagonist,Antagonist,Terrorist,Terrorist
PT_118.txt,Espanha,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_200.txt,Glaciar Perito Moreno,Innocent,Victim,Innocent,Innocent,Exploited,Exploited
PT_45.txt,Ucrânia,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_280.txt,Kiev,Antagonist,Instigator,Innocent,Innocent,Exploited,Exploited
PT_331.txt,Lula,Protagonist,Guardian,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_21.txt,NATO,Protagonist,Peacemaker,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_44.txt,Ocidente,Antagonist,Conspirator,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_133.txt,Eslováquia,Protagonist,Rebel,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_372.txt,Exército da Ucrânia,Antagonist,Incompetent,Antagonist,Antagonist,Corrupt,Corrupt
PT_319.txt,Rio Grande do Sul,Innocent,Victim,Innocent,Innocent,Exploited,Exploited
PT_150.txt,Leros,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_360.txt,CasaPound,Antagonist,Bigot,Antagonist,Antagonist,Terrorist,Terrorist
PT_374.txt,Rússia,Protagonist,Peacemaker,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_123.txt,Rússia,Protagonist,Guardian,Antagonist,Antagonist,Tyrant,Tyrant
PT_258.txt,Estados Unidos,Antagonist,Foreign Adversary,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_146.txt,Palau,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_389.txt,Chile,Innocent,Victim,Antagonist,Antagonist,Tyrant,Tyrant
PT_41.txt,Turquia,Antagonist,Saboteur,Innocent,Innocent,Exploited,Exploited
PT_389.txt,Índia,Innocent,Victim,Antagonist,Antagonist,Tyrant,Tyrant
PT_269.txt,Putin,Protagonist,Guardian,Antagonist,Antagonist,Traitor,Traitor
PT_292.txt,Kiev,Antagonist,Instigator,Antagonist,Antagonist,Saboteur,Saboteur
PT_146.txt,Londres,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_89.txt,Hungria,Protagonist,Peacemaker,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_124.txt,Rússia,Antagonist,Deceiver,Innocent,Innocent,Victim,Victim
PT_285.txt,Ucrânia,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_112.txt,Serguei Riabkov,Protagonist,Guardian,Innocent,Innocent,Forgotten,Forgotten
PT_378.txt,Partido Nacional Democrático da Alemanha,Antagonist,Bigot,Antagonist,Antagonist,Terrorist,Terrorist
PT_318.txt,Noruega,Innocent,Victim,Innocent,Innocent,Forgotten,Forgotten
PT_357.txt,Ucrânia,Antagonist,Bigot,Innocent,Innocent,Forgotten,Forgotten
PT_56.txt,Climáximo,Protagonist,Virtuous,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_146.txt,Maldivas,Innocent,Victim,Antagonist,Antagonist,Foreign Adversary,Foreign Adversary
PT_360.txt,Cubic,Antagonist,Conspirator,Antagonist,Antagonist,Terrorist,Terrorist
PT_50.txt,Ucrânia,Antagonist,Incompetent,Antagonist,Antagonist,Corrupt,Corrupt
PT_336.txt,Afeganistão,Innocent,Victim,Innocent,Innocent,Victim,Victim
PT_127.txt,Ucrânia,Antagonist,Tyrant,Protagonist,Protagonist,Guardian,Guardian
PT_161.txt,França,Innocent,Victim,Innocent,Innocent,Forgotten,Forgotten
PT_251.txt,Rússia,Protagonist,Peacemaker,Innocent,Innocent,Forgotten,Forgotten
