article_id,ent_span,main_role,fine_grained_roles,max_main_role,avg_main_role,max_fg_role,avg_fg_role
RU-URW-1020.txt,Владимир Путин якобы,Innocent,Scapegoat,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1138.txt,США,Antagonist,"Instigator, Foreign Adversary",Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1036.txt,спецслужбы Украины. Удары,Antagonist,Terrorist,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1176.txt,"""Новости здорового человека""",Antagonist,Deceiver,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1025.txt,Ральф Сирен в,Antagonist,Terrorist,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1162.txt,Киеву именно,Antagonist,Terrorist,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1106.txt,Российская разведка рассекретила,Protagonist,Guardian,Antagonist,Antagonist,Шпион,Шпион
RU-URW-1012.txt,Игорь Чуркин может,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1074.txt,задуматься,Antagonist,Instigator,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1145.txt,Сергей Шойгу в,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1010.txt,Трампа о завершении,Antagonist,Incompetent,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1122.txt,СК РФ по,Protagonist,Virtuous,Antagonist,Antagonist,Заговорщик,Заговорщик
RU-URW-1138.txt,Байден разрешил,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1128.txt,Украине возник,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1140.txt,Зеленского «вором,Antagonist,Deceiver,Protagonist,Protagonist,Мученик,Мученик
RU-URW-1119.txt,Нидерланды начали,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1049.txt,Россию,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1161.txt,России.,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1155.txt,Турция не,Antagonist,Conspirator,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1037.txt,на,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1165.txt,"""Действие и солидарность""",Antagonist,Deceiver,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1011.txt,дом препятствует,Antagonist,Incompetent,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1008.txt,"Часов Яре, Волчанске",Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1049.txt,ВСУ,Antagonist,Terrorist,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1030.txt,ФСБ России,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1078.txt,избрали,Antagonist,Conspirator,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1041.txt,Владимир Путин,Protagonist,Guardian,Protagonist,Protagonist,Мученик,Мученик
RU-URW-1083.txt,"Беженцы, эвакуированные Вооруженными силами России из окрестностей Часова Яра,",Innocent,Victim,Antagonist,Antagonist,Подстрекатель,Подстрекатель
RU-URW-1071.txt,"""Киевсовет",Antagonist,Tyrant,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1143.txt,Армия России,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1150.txt,Украине и,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1029.txt,Никол Пашинян принял,Antagonist,"Conspirator, Incompetent",Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1137.txt,«Параграф-88»,Antagonist,Terrorist,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1141.txt,готовы,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1153.txt,Украина не,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1145.txt,США.Оперативно,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1008.txt,"Волчанске, под",Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1116.txt,главам стран ШОС за предложения,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1138.txt,"Йонсона, Киев имеет",Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1033.txt,Горловку,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1062.txt,Андрей Климов.,Protagonist,Virtuous,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1030.txt,Росгвардию,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1070.txt,Киева,Antagonist,"Incompetent, Terrorist",Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1138.txt,НАТО,Antagonist,"Instigator, Foreign Adversary",Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1137.txt,Дарьи Дугиной в августе,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1030.txt,МЧС,Protagonist,Guardian,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1070.txt,Запада,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1104.txt,украинских спецслужб.,Antagonist,"Saboteur, Foreign Adversary",Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1031.txt,Лихачев,Protagonist,Virtuous,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1016.txt,Запад продолжает,Antagonist,Foreign Adversary,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1058.txt,Донецкой Народной Республики,Innocent,Victim,Antagonist,Antagonist,Коррумпированный,Коррумпированный
RU-URW-1123.txt,«Россию,Innocent,Victim,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1035.txt,добавил,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1158.txt,премьеру Индии за,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1106.txt,Эммануэль Макрон ранее,Antagonist,Instigator,Antagonist,Antagonist,Шпион,Шпион
RU-URW-1072.txt,России и,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1117.txt,Дональда Трампа озвучить,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1019.txt,Россия поддерживает,Protagonist,Peacemaker,Protagonist,Protagonist,Хранитель,Хранитель
RU-URW-1172.txt,нужна,Antagonist,Saboteur,Protagonist,Protagonist,Хранитель,Хранитель
