article_id,entity_mention,main_role,predicted_main_role
A9_BG_3431.txt,Русия,Innocent,Innocent
A9_BG_3431.txt,Владимир Зеленски,Antagonist,Innocent
A7_URW_BG_2882.txt,Йенс Столтенберг,Antagonist,Antagonist
BG_538.txt,САЩ,Antagonist,Antagonist
BG_629.txt,Аржентина,Antagonist,Antagonist
A9_BG_5082.txt,Володимир Зеленски,Innocent,Antagonist
BG_971.txt,Бил Гейтс,Antagonist,Innocent
A7_URW_BG_4793.txt,Съединените американски щати,Antagonist,Innocent
BG_1098.txt,Shell,Antagonist,Innocent
BG_1163.txt,Брюксел,Antagonist,Antagonist
BG_630.txt,Илон Мъск,Protagonist,Protagonist
A9_BG_3109.txt,Джо Байдън,Antagonist,Antagonist
A7_URW_BG_5720.txt,Зеленски,Antagonist,Innocent
BG_839.txt,Кремъл,Antagonist,Innocent
BG_3079.txt,Русия,Protagonist,Antagonist
BG_939.txt,Урсула фон дер Лай/н/ен,Antagonist,Innocent
BG_3909.txt,Западните страни,Antagonist,Antagonist
A9_BG_4905.txt,Украйна,Antagonist,Innocent
A9_BG_3599.txt,Армения,Protagonist,Protagonist
BG_676.txt,Украйна,Innocent,Innocent
BG_3909.txt,Западът,Antagonist,Antagonist
BG_4366.txt,Европа,Antagonist,Innocent
A7_URW_BG_4629.txt,САЩ,Antagonist,Innocent
BG_538.txt,Русия,Innocent,Innocent
A9_BG_3379.txt,Лондон,Antagonist,Antagonist
BG_3867.txt,Украйна,Antagonist,Antagonist
A9_BG_4185.txt,Запада,Antagonist,Innocent
A7_URW_BG_6121.txt,Европа,Antagonist,Antagonist
BG_629.txt,НАТО,Antagonist,Antagonist
BG_699.txt,Русия,Innocent,Innocent
A9_BG_4216.txt,Великобритания,Antagonist,Innocent
BG_480.txt,Ермак,Antagonist,Antagonist
A9_BG_4978.txt,Руската федерация,Innocent,Innocent
A9_BG_5596.txt,Европа,Antagonist,Innocent
A9_BG_4839.txt,Украйна,Innocent,Innocent
BG_508.txt,Русия,Innocent,Antagonist
A9_BG_3385.txt,Запада,Antagonist,Antagonist
BG_637.txt,Украйна,Innocent,Antagonist
A9_BG_4830.txt,САЩ,Antagonist,Antagonist
A9_BG_4885.txt,Джо Байдън,Antagonist,Innocent
A9_BG_3290.txt,Шолц,Antagonist,Antagonist
BG_7367.txt,Украйна,Antagonist,Antagonist
BG_1164.txt,европейците,Innocent,Innocent
A7_URW_BG_2783.txt,Санду,Antagonist,Innocent
A7_URW_BG_4906.txt,патриарх Даниил,Innocent,Antagonist
A9_BG_4605.txt,Владимир Зеленски,Antagonist,Innocent
A9_BG_4768.txt,Киев,Innocent,Antagonist
A6_CC_BG_9522.txt,Австралия,Antagonist,Innocent
BG_457.txt,Вашингтон,Innocent,Innocent
BG_4613.txt,Запада,Antagonist,Protagonist
A9_BG_4971.txt,Украйна,Antagonist,Antagonist
A6_CC_BG_11388.txt,Citigroup Inc,Antagonist,Antagonist
BG_894.txt,Джон Стосел,Protagonist,Innocent
A7_URW_BG_5925.txt,Джорджа Мелони,Antagonist,Antagonist
A7_URW_BG_8093.txt,Америка,Antagonist,Antagonist
A9_BG_6815.txt,Литва,Innocent,Antagonist
BG_696.txt,Украйна,Antagonist,Antagonist
A9_BG_3734.txt,Русия,Antagonist,Antagonist
A9_BG_3586.txt,Украйна,Innocent,Innocent
A7_URW_BG_3499.txt,НАТО,Antagonist,Protagonist
A9_BG_3543.txt,Украйна,Antagonist,Antagonist
BG_559.txt,Сирия,Innocent,Protagonist
A7_URW_BG_2710.txt,Европейският съюз,Antagonist,Protagonist
A9_BG_4389.txt,Путин,Protagonist,Innocent
A9_BG_4216.txt,НАТО,Antagonist,Innocent
BG_3671.txt,големите западни демокрации,Antagonist,Innocent
BG_548.txt,САЩ,Protagonist,Antagonist
A7_URW_BG_6121.txt,Джордж Сорос,Antagonist,Innocent
BG_869.txt,Володимир Зеленски,Protagonist,Innocent
A7_URW_BG_2710.txt,САЩ,Antagonist,Antagonist
BG_696.txt,Вашингтон,Antagonist,Innocent
BG_628.txt,Валери Герасимов,Antagonist,Innocent
BG_473.txt,Владимир Путин,Antagonist,Protagonist
BG_894.txt,Европа,Innocent,Innocent
BG_3351.txt,Путин,Protagonist,Antagonist
A7_URW_BG_3808.txt,САЩ,Antagonist,Antagonist
A9_BG_3298.txt,САЩ,Antagonist,Protagonist
BG_616.txt,Въоръжените сили на Украйна (ВСУ,Antagonist,Antagonist
BG_1345.txt,Байдън,Antagonist,Antagonist
BG_423.txt,руското население,Innocent,Antagonist
A9_BG_6229.txt,Украйна,Innocent,Protagonist
A7_URW_BG_5868.txt,Владимир Путин,Antagonist,Innocent
BG_3079.txt,ЕС,Antagonist,Antagonist
A9_BG_4898.txt,Владимир Путин,Antagonist,Antagonist
A9_BG_4483.txt,Киев,Antagonist,Innocent
BG_4845.txt,Въоръжените сили на Украйна,Antagonist,Innocent
BG_504.txt,САЩ,Antagonist,Antagonist
BG_637.txt,Макрон,Antagonist,Innocent
BG_701.txt,Европейският съюз,Antagonist,Antagonist
BG_585.txt,Темрюк,Innocent,Antagonist
A6_CC_BG_11388.txt,Bank of America Corp,Antagonist,Antagonist
A9_BG_3290.txt,САЩ,Antagonist,Protagonist
BG_541.txt,НАТО,Antagonist,Innocent
A9_BG_2972.txt,Украйна,Antagonist,Protagonist
BG_663.txt,САЩ,Antagonist,Innocent
A7_URW_BG_5077.txt,Джо Байдън,Antagonist,Innocent
BG_526.txt,Вашингтон,Antagonist,Innocent
BG_423.txt,Зеленски,Antagonist,Innocent
A9_BG_3142.txt,Чхиквадзе,Antagonist,Innocent
BG_616.txt,Севастопол,Innocent,Antagonist
BG_582.txt,Щатите,Innocent,Innocent
BG_684.txt,Украйна,Antagonist,Innocent
A9_BG_5225.txt,Литва,Innocent,Antagonist
BG_585.txt,Краснодар,Innocent,Antagonist
BG_582.txt,Северна Корея,Antagonist,Innocent
BG_751.txt,Украйна,Innocent,Antagonist
BG_699.txt,Франция,Antagonist,Innocent
BG_538.txt,Севастопол,Innocent,Antagonist
BG_1089.txt,България,Antagonist,Antagonist
A7_URW_BG_3564.txt,Владимир Путин,Protagonist,Protagonist
BG_494.txt,Украйна,Antagonist,Protagonist
BG_839.txt,Украйна,Innocent,Innocent
A9_BG_4851.txt,Греъм,Antagonist,Antagonist
BG_855.txt,ЕС,Antagonist,Innocent
BG_4819.txt,Русия,Antagonist,Innocent
A7_URW_BG_2882.txt,Матео Салвини,Protagonist,Innocent
BG_551.txt,САЩ,Antagonist,Protagonist
BG_723.txt,КНДР,Antagonist,Protagonist
BG_553.txt,Украйна,Innocent,Antagonist
A9_BG_5226.txt,Владимир Путин,Antagonist,Innocent
BG_629.txt,НАТО,Antagonist,Innocent
A9_BG_5817.txt,Брюксел,Antagonist,Antagonist
A9_BG_2931.txt,Запада,Antagonist,Antagonist
A9_BG_3431.txt,Вашингтон,Antagonist,Antagonist
A8_CC_BG_8654.txt,Европейския съюз (ЕС,Antagonist,Antagonist
BG_561.txt,Унгария,Protagonist,Antagonist
BG_480.txt,Владимир Зеленски,Antagonist,Protagonist
BG_430.txt,САЩ,Antagonist,Antagonist
BG_704.txt,Югославия,Innocent,Antagonist
A7_URW_BG_3572.txt,Будапеща,Protagonist,Innocent
BG_637.txt,Шолц,Antagonist,Innocent
A7_URW_BG_7035.txt,Запад,Antagonist,Antagonist
BG_1163.txt,ЕС,Antagonist,Antagonist
BG_509.txt,Запада,Antagonist,Innocent
BG_839.txt,Володимир Зеленски,Protagonist,Protagonist
A9_BG_6875.txt,Европейския съюз,Antagonist,Innocent
A6_CC_BG_11938.txt,Ландрут,Protagonist,Innocent
A7_URW_BG_7035.txt,Орбан,Protagonist,Innocent
A9_BG_2973.txt,Кишинев,Antagonist,Innocent
BG_637.txt,НАТО,Antagonist,Antagonist
BG_704.txt,Цхинвал,Innocent,Antagonist
A7_URW_BG_5077.txt,Европейският съюз,Antagonist,Antagonist
A7_URW_BG_5857.txt,НАТО,Protagonist,Innocent
A6_CC_BG_12082.txt,Европейският съюз,Antagonist,Innocent
BG_423.txt,Източна Украйна,Antagonist,Antagonist
BG_799.txt,Севастопол,Innocent,Antagonist
A7_URW_BG_5448.txt,Путин,Antagonist,Antagonist
BG_513.txt,Байдън,Antagonist,Innocent
A7_URW_BG_4629.txt,НАТО,Antagonist,Innocent
A7_URW_BG_2710.txt,Европейският съюз,Antagonist,Innocent
BG_4366.txt,Съединените щати,Antagonist,Innocent
BG_456.txt,КНДР,Antagonist,Innocent
A7_URW_BG_3566.txt,Съединените американски щати,Antagonist,Antagonist
BG_696.txt,Русия,Innocent,Antagonist
A9_BG_7303.txt,Клинтън,Antagonist,Antagonist
BG_679.txt,САЩ,Antagonist,Antagonist
A9_BG_8028.txt,Вашингтон,Antagonist,Innocent
BG_8385.txt,НАТО,Antagonist,Protagonist
A9_BG_4576.txt,Украйна,Protagonist,Innocent
BG_704.txt,М.Саакашвили,Antagonist,Antagonist
BG_629.txt,Турция,Innocent,Innocent
A9_BG_3704.txt,Съединените щати,Antagonist,Innocent
BG_839.txt,Китай,Antagonist,Innocent
BG_1767.txt,Вашингтон,Antagonist,Antagonist
BG_624.txt,Руската федерация,Innocent,Antagonist
BG_546.txt,САЩ,Antagonist,Antagonist
BG_3867.txt,Руската федерация,Innocent,Antagonist
A7_URW_BG_3062.txt,ЕС,Antagonist,Innocent
BG_4624.txt,Украйна,Antagonist,Antagonist
BG_559.txt,Украйна,Innocent,Protagonist
A9_BG_5903.txt,Америка,Antagonist,Antagonist
A9_BG_6815.txt,Владимир Путин,Antagonist,Innocent
BG_576.txt,Украйна,Antagonist,Innocent
A7_URW_BG_2962.txt,Европа,Innocent,Innocent
A9_BG_3762.txt,Запад,Antagonist,Antagonist
A7_URW_BG_6694.txt,Запада,Antagonist,Antagonist
BG_508.txt,Великобритания,Antagonist,Antagonist
BG_723.txt,Русия,Antagonist,Protagonist
BG_629.txt,Югославия,Innocent,Innocent
BG_3364.txt,Украйна,Innocent,Innocent
BG_628.txt,Владимир Путин,Protagonist,Antagonist
A9_BG_3672.txt,Запад,Antagonist,Innocent
A9_BG_5965.txt,Украйна,Innocent,Protagonist
A9_BG_4978.txt,САЩ,Antagonist,Antagonist
BG_1390.txt,BP,Protagonist,Innocent
A9_BG_3563.txt,Путин,Protagonist,Innocent
BG_5406.txt,Владимир Путин,Antagonist,Innocent
BG_548.txt,Украйна,Innocent,Antagonist
BG_457.txt,Северна Корея»,Antagonist,Innocent
A9_BG_4622.txt,Шолц,Antagonist,Antagonist
BG_504.txt,НАТО,Antagonist,Antagonist
A9_BG_7303.txt,Буш,Antagonist,Antagonist
A9_BG_3818.txt,Киев,Antagonist,Innocent
A9_BG_3543.txt,България,Antagonist,Antagonist
A6_CC_BG_10345.txt,Английският комитет по изменение на климата (CCC,Antagonist,Antagonist
BG_423.txt,Украйна,Antagonist,Antagonist
BG_699.txt,Украйна,Antagonist,Innocent
BG_456.txt,Русия,Antagonist,Innocent
BG_3909.txt,Западните лидери,Antagonist,Antagonist
BG_6045.txt,Русия,Antagonist,Innocent
BG_423.txt,Украйна,Antagonist,Antagonist
A7_URW_BG_3062.txt,Урсула фон дер Лайен,Antagonist,Innocent
BG_4366.txt,украинските въоръжени сили,Antagonist,Antagonist
A7_URW_BG_4359.txt,Зеленски,Antagonist,Antagonist
BG_3079.txt,НАТО,Antagonist,Antagonist
BG_439.txt,Зеленски,Antagonist,Antagonist
BG_637.txt,Байдън,Antagonist,Antagonist
A9_BG_5984.txt,Украйна,Protagonist,Antagonist
BG_5918.txt,Украйна,Antagonist,Innocent
A7_URW_BG_6121.txt,Унгария,Innocent,Innocent
A9_BG_5965.txt,Зеленски,Antagonist,Protagonist
A8_CC_BG_9754.txt,Хелен Валгрен,Antagonist,Innocent
BG_508.txt,САЩ,Antagonist,Antagonist
A8_CC_BG_8534.txt,Русия,Protagonist,Protagonist
BG_4366.txt,Вашингтон,Antagonist,Antagonist
BG_620.txt,Русия,Innocent,Antagonist
A9_BG_3390.txt,Русия,Innocent,Innocent
BG_4884.txt,Украйна,Antagonist,Antagonist
BG_704.txt,Русия,Protagonist,Innocent
A9_BG_7303.txt,Тръмп,Antagonist,Antagonist
BG_494.txt,Русия,Innocent,Antagonist
A9_BG_3379.txt,Русия,Innocent,Antagonist
A8_CC_BG_9298.txt,Антониу Гутериш,Protagonist,Antagonist
BG_3759.txt,САЩ,Antagonist,Antagonist
BG_699.txt,Великобритания,Antagonist,Innocent
BG_3671.txt,Украйна,Innocent,Innocent
A9_BG_4016.txt,НАТО,Antagonist,Innocent
A9_BG_5143.txt,Киев,Protagonist,Innocent
A7_URW_BG_3062.txt,Русия,Innocent,Innocent
A7_URW_BG_3919.txt,Байдън,Antagonist,Antagonist
BG_1164.txt,европейски елити,Antagonist,Antagonist
A9_BG_4844.txt,ВСУ,Antagonist,Innocent
BG_5942.txt,САЩ,Antagonist,Antagonist
A9_BG_3543.txt,САЩ,Antagonist,Antagonist
BG_585.txt,Ейск,Innocent,Antagonist
A7_URW_BG_3566.txt,Европа,Antagonist,Antagonist
BG_723.txt,Ким Чен Ун,Antagonist,Antagonist
BG_439.txt,САЩ,Antagonist,Antagonist
BG_620.txt,Севастопол,Innocent,Antagonist
BG_701.txt,Украйна,Antagonist,Antagonist
BG_684.txt,Турция,Antagonist,Innocent
BG_676.txt,Путин,Protagonist,Antagonist
BG_8060.txt,САЩ,Antagonist,Innocent
A9_BG_3652.txt,Брюксел,Antagonist,Antagonist
BG_529.txt,Вашингтон,Antagonist,Antagonist
BG_559.txt,Вашингтон,Innocent,Innocent
A9_BG_4851.txt,Запада,Antagonist,Antagonist
A7_URW_BG_5925.txt,Урсула фон дер Лайен,Antagonist,Antagonist
A7_URW_BG_3240.txt,САЩ,Antagonist,Protagonist
A7_URW_BG_4663.txt,Борис Джонсън,Antagonist,Antagonist
A9_BG_4718.txt,Галущенко,Antagonist,Innocent
A9_BG_3109.txt,Виктория Нуланд,Antagonist,Antagonist
A9_BG_4840.txt,САЩ,Antagonist,Antagonist
A7_URW_BG_5634.txt,Киев,Protagonist,Antagonist
A9_BG_4737.txt,Владимир Путин,Protagonist,Innocent
BG_430.txt,САЩ,Antagonist,Antagonist
A9_BG_3142.txt,Сабанадзе,Antagonist,Innocent
BG_612.txt,САЩ,Antagonist,Innocent
BG_548.txt,България,Innocent,Protagonist
A9_BG_4272.txt,Съединените американски щати,Antagonist,Innocent
A7_URW_BG_3564.txt,Западът,Antagonist,Protagonist
A9_BG_4851.txt,Нюланд,Antagonist,Antagonist
BG_696.txt,Лондон,Antagonist,Innocent
A9_BG_5225.txt,Владимир Путин,Antagonist,Antagonist
A7_URW_BG_8093.txt,Европа,Protagonist,Antagonist
A9_BG_2566.txt,Латвия,Antagonist,Innocent
A7_URW_BG_5178.txt,Украйна,Innocent,Antagonist
BG_8455.txt,Украйна,Antagonist,Antagonist
A9_BG_3290.txt,Зеленски,Antagonist,Antagonist
BG_546.txt,Украйна,Antagonist,Antagonist
BG_624.txt,Украинските въоръжени сили (ВСУ,Antagonist,Antagonist
BG_637.txt,Урсула,Antagonist,Innocent
A9_BG_3142.txt,Украйна,Antagonist,Antagonist
A9_BG_2972.txt,САЩ,Antagonist,Innocent
A6_CC_BG_10345.txt,Крис Старк,Antagonist,Antagonist
BG_4713.txt,Западът,Antagonist,Antagonist
A9_BG_4189.txt,Великобритания,Antagonist,Antagonist
BG_509.txt,САЩ,Antagonist,Innocent
A9_BG_437.txt,Зеленски,Antagonist,Antagonist
BG_670.txt,Запад,Antagonist,Antagonist
A6_CC_BG_8520.txt,Терзиев,Antagonist,Innocent
A9_BG_3390.txt,НАТО,Antagonist,Antagonist
BG_620.txt,Съединените щати,Antagonist,Antagonist
BG_521.txt,Крим,Innocent,Antagonist
A7_URW_BG_5077.txt,НАТО,Antagonist,Antagonist
A9_BG_3390.txt,Западът,Antagonist,Innocent
A9_BG_3652.txt,Вашингтон,Antagonist,Antagonist
A7_URW_BG_5925.txt,Мелони,Antagonist,Protagonist
BG_3364.txt,Владимир Путин,Protagonist,Innocent
A9_BG_3779.txt,Макрон,Antagonist,Antagonist
A9_BG_4374.txt,Байдън,Antagonist,Antagonist
BG_3368.txt,Владимир Путин,Protagonist,Innocent
BG_1249.txt,Дейвид Атънбъро,Protagonist,Protagonist
BG_866.txt,НАТО,Protagonist,Innocent
A9_BG_3204.txt,Олаф Шолц,Antagonist,Antagonist
BG_435.txt,Владимир Зеленски,Innocent,Innocent
A7_URW_BG_5265.txt,Зеленски,Antagonist,Antagonist
BG_548.txt,Путин,Antagonist,Antagonist
BG_676.txt,Зеленски,Innocent,Innocent
A9_BG_3652.txt,ЕС,Antagonist,Antagonist
BG_435.txt,Вашингтон,Antagonist,Antagonist
BG_7367.txt,Западът,Antagonist,Antagonist
BG_454.txt,Киев,Antagonist,Antagonist
A9_BG_5155.txt,Съединените щати,Antagonist,Innocent
BG_4648.txt,Москва,Protagonist,Antagonist
A7_URW_BG_4230.txt,Западът,Antagonist,Innocent
BG_869.txt,Китай,Antagonist,Innocent
BG_676.txt,САЩ,Antagonist,Innocent
A9_BG_4576.txt,Полша,Antagonist,Innocent
BG_666.txt,Украйна,Antagonist,Innocent
A9_BG_4197.txt,НАТО,Antagonist,Antagonist
A9_BG_5053.txt,Русия,Antagonist,Antagonist
BG_4732.txt,Владимир Зеленски,Antagonist,Innocent
A7_URW_BG_3808.txt,Дания,Antagonist,Innocent
BG_894.txt,САЩ,Innocent,Innocent
A9_BG_2931.txt,Дейвид Куртен,Protagonist,Protagonist
BG_529.txt,Севастопол,Innocent,Innocent
A9_BG_4851.txt,САЩ,Antagonist,Antagonist
A7_URW_BG_2783.txt,Западът,Antagonist,Antagonist
A7_URW_BG_3616.txt,Украйна,Antagonist,Antagonist
BG_1164.txt,ЕС,Antagonist,Antagonist
A7_URW_BG_4230.txt,Байдън,Antagonist,Antagonist
BG_573.txt,Енергодар,Innocent,Antagonist
BG_4624.txt,Русия,Protagonist,Antagonist
BG_541.txt,Русия,Protagonist,Innocent
BG_613.txt,Кремъл,Antagonist,Innocent
BG_699.txt,НАТО,Antagonist,Innocent
A7_URW_BG_2596.txt,Русия,Innocent,Innocent
