article_id,entity_mention,main_role,predicted_main_role
EN_UA_004209.txt,Minister Alexander Grushko,Protagonist,Innocent
EN_UA_300070.txt,BIDEN,Antagonist,Innocent
EN_UA_024050.txt,Ukraine,Antagonist,Antagonist
EN_CC_100047.txt,John Kerry,Antagonist,Innocent
EN_CC_200279.txt,Bill Gates,Antagonist,Antagonist
EN_CC_200154.txt,President Joe Biden,Antagonist,Innocent
EN_UA_100411.txt,Blinken,Antagonist,Innocent
EN_UA_024847.txt,Seymour Hersh,Protagonist,Innocent
EN_UA_024628.txt,United States,Protagonist,Innocent
EN_CC_200097.txt,Jeremy Strong,Antagonist,Innocent
EN_CC_200048.txt,JBS,Antagonist,Antagonist
EN_CC_100004.txt,China,Antagonist,Innocent
EN_CC_200221.txt,USAID,Antagonist,Protagonist
EN_UA_025165.txt,the West,Antagonist,Antagonist
EN_CC_100076.txt,Walt Meier,Antagonist,Innocent
EN_UA_300016.txt,President Trump,Innocent,Innocent
EN_UA_024050.txt,Russia,Protagonist,Antagonist
EN_CC_100038.txt,the Fed,Antagonist,Antagonist
EN_UA_010909.txt,Moscow,Innocent,Innocent
EN_UA_004209.txt,Vladimir Putin,Protagonist,Antagonist
EN_CC_200188.txt,Maryland Public Service Commission,Antagonist,Innocent
EN_CC_200105.txt,World Economic Forum-,Antagonist,Antagonist
EN_UA_029053.txt,Russia's,Antagonist,Innocent
EN_UA_021123.txt,Russian,Antagonist,Innocent
EN_UA_019640.txt,China,Protagonist,Innocent
EN_UA_000923.txt,Britain,Protagonist,Antagonist
EN_UA_013727.txt,NATO,Antagonist,Antagonist
EN_UA_002531.txt,Klitschko,Protagonist,Innocent
EN_UA_300012.txt,Ruslan Zinin,Protagonist,Antagonist
EN_CC_200137.txt,Andreas Malm,Antagonist,Innocent
EN_UA_300048.txt,BIDEN FAMILY,Antagonist,Innocent
EN_CC_200022.txt,Denmark,Antagonist,Innocent
EN_UA_021270.txt,Zelensky admin,Antagonist,Antagonist
EN_UA_000104.txt,Biden administration,Protagonist,Innocent
EN_UA_025764.txt,Washington,Antagonist,Protagonist
EN_CC_200221.txt,Andrei Shleifer,Antagonist,Protagonist
EN_UA_004343.txt,Ukraine,Protagonist,Innocent
EN_UA_013617.txt,President Vladimir Putin,Protagonist,Protagonist
EN_CC_300040.txt,California,Protagonist,Protagonist
EN_UA_300139.txt,Vladimir Zelensky,Antagonist,Antagonist
EN_CC_200343.txt,Chris Martz,Protagonist,Antagonist
EN_UA_300139.txt,Vasily Prozorov,Protagonist,Antagonist
EN_UA_017831.txt,Vladimir Putin,Antagonist,Innocent
EN_UA_300076.txt,Ukraine,Antagonist,Innocent
EN_UA_000923.txt,Boris Johnson,Protagonist,Innocent
EN_UA_300084.txt,Kiev,Antagonist,Antagonist
EN_UA_100587.txt,Ukrainians,Innocent,Protagonist
EN_CC_200052.txt,António Guterres,Antagonist,Antagonist
EN_CC_200052.txt,Pakistan,Innocent,Antagonist
EN_UA_300036.txt,The United States,Protagonist,Antagonist
EN_UA_023816.txt,United States,Antagonist,Antagonist
EN_CC_200116.txt,Justin Trudeau,Antagonist,Antagonist
EN_UA_300036.txt,Ukraine,Innocent,Antagonist
EN_UA_300084.txt,Pentagon,Antagonist,Antagonist
EN_UA_300108.txt,Marianna Budanova,Innocent,Antagonist
EN_UA_016012.txt,Russia,Antagonist,Protagonist
EN_UA_025652.txt,West,Antagonist,Innocent
EN_UA_026740.txt,Israel,Antagonist,Antagonist
EN_UA_024050.txt,Poland,Antagonist,Protagonist
EN_CC_100091.txt,Greta Thunberg,Innocent,Innocent
EN_CC_200292.txt,Alexandria Ocasio-Cortez,Antagonist,Protagonist
EN_UA_027676.txt,North Korea,Antagonist,Innocent
EN_UA_100688.txt,Kremlin,Antagonist,Innocent
EN_UA_014014.txt,Brazil,Innocent,Innocent
EN_UA_004616.txt,Ukraine,Protagonist,Antagonist
EN_UA_029155.txt,US,Antagonist,Antagonist
EN_UA_103025.txt,EU,Antagonist,Protagonist
EN_UA_027879.txt,Zelensky,Antagonist,Antagonist
EN_UA_029155.txt,US Navy,Antagonist,Antagonist
EN_CC_100012.txt,Robert F. Kennedy,Protagonist,Antagonist
EN_UA_103517.txt,Gershkovich,Protagonist,Antagonist
EN_CC_200134.txt,UN,Antagonist,Protagonist
EN_UA_027879.txt,West,Antagonist,Antagonist
EN_UA_010909.txt,Samantha Power,Antagonist,Innocent
EN_UA_026142.txt,Palestinians,Innocent,Protagonist
EN_UA_013617.txt,John Bolton,Antagonist,Antagonist
EN_UA_300005.txt,Meloni,Antagonist,Protagonist
EN_CC_100012.txt,Bill Gates-,Antagonist,Antagonist
